NumTrees,MaxDepth,LeafSize,RMSE
100,15,1,0.333928095256351
96,40,3,0.418837673641987
166,27,13,0.666690182969559
90,41,8,0.592300993774256
181,34,15,0.682667297488422
134,44,14,0.672356828272988
197,44,11,0.641478297861535
54,37,14,0.678162127563126
170,34,2,0.335986917179143
46,46,6,0.544226765273249
53,29,12,0.657346436667838
90,17,2,0.356164994986728
170,8,20,0.70219405310392
50,22,19,0.701788106680313
95,21,3,0.425122328531067
97,25,3,0.402101869832783
115,40,2,0.353655475046448
79,29,13,0.659719843369807
120,37,17,0.694911637939631
151,28,12,0.662724706037203
185,24,18,0.694415102741372
50,34,16,0.693620878971228
59,19,3,0.430412020201222
82,43,11,0.63806593437629
146,14,9,0.608104523344329
141,45,1,0.261817988848215
119,44,17,0.691783924104471
25,11,11,0.647712915110829
49,30,4,0.462734352826355
145,43,6,0.532819463619794
173,31,11,0.646829433130232
131,40,17,0.693698734769704
175,34,19,0.702565524902585
109,32,11,0.638192956505388
182,26,15,0.680643794631407
134,17,16,0.686833931213084
182,24,1,0.296093610989615
129,35,17,0.689583070510208
186,44,18,0.699773980640239
137,36,2,0.359874076260061
50,33,17,0.697914202044734
25,10,16,0.694692678634458
116,23,9,0.614090141704449
49,36,11,0.641519361043295
166,5,2,0.504498237189933
185,34,4,0.458875294932
50,12,11,0.644409545449296
199,7,19,0.698590176473392
27,8,16,0.68646205202526
25,10,9,0.615661040198894
141,45,1,0.283931035767047
182,24,1,0.283350580682352
100,15,1,0.327089637075946
109,34,16,0.68682023638597
170,8,20,0.705931404435338
197,44,1,0.264932705146402
151,28,12,0.655089618711081
199,34,19,0.699001640700232
166,32,2,0.340075063037103
95,21,4,0.450183431159566
97,45,3,0.410996291191011
115,40,17,0.694197187689648
27,8,9,0.625416674003832
141,45,1,0.277837892335552
131,40,14,0.675168243335198
182,26,15,0.680427373366339
100,15,1,0.337323485367582
90,17,2,0.384896891444718
100,15,1,0.323809793852557
100,40,1,0.286803426213825
182,24,2,0.346420146544996
119,44,2,0.336943891037518
182,41,1,0.27784837328477
95,21,3,0.416965059030751
170,34,15,0.681181541161301
50,34,6,0.534847963421313
100,24,1,0.280703717924156
59,37,3,0.412829487912338
79,11,11,0.648130612129808
134,17,1,0.338651358702849
25,11,9,0.628767515181278
141,34,1,0.281694145766398
25,5,2,0.505880204734951
50,33,9,0.601861141567799
137,24,2,0.353329725634354
145,44,6,0.525789629730666
96,43,6,0.537414919392647
141,45,1,0.279337157264538
185,34,4,0.453671626359022
116,35,9,0.616556533089768
96,36,2,0.353007945912595
186,43,19,0.702252513706105
147,15,9,0.608244956565062
173,32,12,0.652755132083178
185,34,5,0.505201203898405
166,28,14,0.677739065486725
186,24,19,0.700520071999751
114,40,2,0.335839515830228
60,19,3,0.410775438195531
121,37,17,0.696972034592195
197,44,1,0.281952859173003
141,45,1,0.268515980764579
182,41,1,0.269199412805174
147,43,19,0.701682155071306
186,24,19,0.700147519549575
134,17,15,0.67773029346214
141,45,1,0.282067373593685
59,37,2,0.373543438225298
100,44,1,0.2779606961671
100,15,1,0.343586480851116
141,45,1,0.278235683964932
100,40,1,0.272776205579907
60,19,17,0.691635758778939
131,34,19,0.702198802152632
197,44,1,0.280576232878491
197,44,1,0.267295388863675
141,44,6,0.539998296925705
182,34,4,0.457432519605737
100,24,16,0.689287658761012
100,40,2,0.34430661130518
114,44,2,0.356316646509905
95,21,4,0.465626623636665
100,36,2,0.333702732203479
185,34,2,0.351618420592266
173,44,1,0.266800859511522
170,8,15,0.678513793957761
95,21,6,0.547373561142652
173,44,12,0.652229206649445
166,45,1,0.272790675675135
166,11,9,0.606968855616861
141,28,12,0.651468965541398
141,33,1,0.27983093780612
100,15,1,0.340234896468941
182,41,9,0.615793289570631
182,41,17,0.693364484840713
116,35,9,0.600884991837676
182,24,1,0.293620272156595
141,41,1,0.275125914295767
96,40,1,0.289391144880946
197,45,1,0.282220402382878
114,17,2,0.360892267253597
79,10,11,0.639649062726614
50,33,6,0.533293525787345
101,24,1,0.284814557652994
101,24,1,0.277725067945027
142,45,1,0.279746385921872
197,44,2,0.339006808591232
142,35,1,0.280209899986494
183,24,2,0.344608171093756
100,14,1,0.33135884689215
173,44,1,0.268406305698389
197,44,1,0.283261316973492
141,45,1,0.269636068560481
182,44,1,0.273841415182697
182,34,4,0.459808530896819
173,44,12,0.658912269387814
141,45,1,0.277874058629374
197,41,1,0.272195182087476
173,44,2,0.356318160798304
100,24,1,0.283476283785672
173,44,1,0.290838152120534
95,21,6,0.527136098297464
182,41,1,0.284027267718845
141,41,1,0.271683235634177
141,35,1,0.268961367496955
100,36,2,0.331262082756859
142,40,1,0.280238988241509
197,17,15,0.681644105979282
197,11,9,0.602510688476505
100,44,17,0.695885721607414
185,34,2,0.35469127146484
173,44,1,0.263223807010554
100,44,1,0.255113959325023
141,40,12,0.65451874434659
131,15,1,0.330588443093827
182,45,1,0.270882261491663
100,44,1,0.267277613782676
100,15,1,0.330575318026755
183,45,2,0.357461041811348
101,45,1,0.267032686847985
182,34,4,0.460922629530291
166,45,1,0.256857442004396
197,45,2,0.355855132929875
141,45,1,0.258393425423736
141,45,1,0.288062643827971
101,8,1,0.432323035306932
95,21,6,0.540557075808196
197,45,1,0.271717525540421
141,33,1,0.27509867507134
141,45,1,0.281546552330433
173,44,1,0.271459333106879
79,10,12,0.660010199768793
101,15,1,0.324107155053796
114,45,2,0.347645921268766
186,25,19,0.701167508547406
50,33,7,0.580774679919653
197,45,1,0.277243443605038
196,44,2,0.352453567530444
141,46,2,0.352882656114692
197,44,3,0.410548958060626
100,44,1,0.278327311885529
166,45,1,0.290450603074198
141,45,1,0.275017016456862
100,36,2,0.348719604604119
100,15,1,0.330031903599301
141,44,1,0.273102641467952
173,44,12,0.657036173668637
197,44,1,0.271157501123755
141,45,1,0.275305185325707
100,44,1,0.289221510028697
100,44,1,0.283284271680876
100,40,1,0.270212880447844
166,45,1,0.272252779701317
166,45,1,0.272965417844649
100,44,1,0.270599288291792
100,45,1,0.285403062450365
186,25,19,0.705197711221431
141,45,1,0.266401414794924
173,35,1,0.277145362330148
141,45,2,0.342709158491528
197,44,1,0.276588726830439
100,44,1,0.278091106128897
173,45,1,0.263695939970782
95,21,1,0.310290079247519
100,44,1,0.272851435801424
101,45,1,0.300597091534625
141,45,1,0.265581255467534
173,44,1,0.281076478441224
173,44,1,0.276931157199844
197,45,2,0.34968857303805
95,45,1,0.280061789827007
101,44,1,0.261454536020748
141,45,1,0.283872075306565
101,11,9,0.601561544298625
166,45,2,0.350493131511389
173,45,1,0.283543378372383
185,34,2,0.348095782749063
197,41,1,0.287136564948535
141,33,1,0.281816087400383
182,45,1,0.283518071489417
141,40,12,0.651836832898444
49,33,7,0.553793188501848
142,39,2,0.359666712967638
173,45,2,0.347933878454823
101,45,1,0.282654300448834
142,46,2,0.355295988021213
142,46,1,0.285298997879389
172,44,1,0.273904190234786
100,45,2,0.360374004169726
197,46,1,0.286943981392225
101,44,1,0.265957398258769
