NumTrees,MaxDepth,LeafSize,RMSE
100,15,1,0.0626772680172902
144,25,8,0.103341982509793
108,48,14,0.119129180697943
143,42,1,0.0534746108237301
141,9,9,0.108014914949883
136,11,6,0.0966192264456659
60,46,13,0.118161080277077
98,8,11,0.113606007523827
131,26,15,0.121257533491767
47,33,19,0.12681263026916
181,32,7,0.100921463963077
43,15,11,0.11309859818186
123,23,9,0.108121566048629
82,35,19,0.125827951779727
104,11,15,0.120286298461907
196,38,14,0.120179902256244
44,32,18,0.123280528497268
84,39,2,0.0693096712465426
146,26,11,0.114234366520326
144,27,14,0.120451058217993
148,26,20,0.126151947222382
162,7,1,0.077237223883903
53,13,20,0.126671350412846
116,26,16,0.121834230163657
122,28,20,0.126781713499017
173,8,18,0.125451580100208
176,46,4,0.0887322073592373
148,7,15,0.120475182371976
24,44,9,0.106601014840055
182,22,11,0.113889143424574
70,36,14,0.120299700949343
38,12,5,0.0949866458667636
108,7,16,0.122179700336867
163,42,2,0.0667937789875092
30,36,12,0.114030911213871
69,20,3,0.0770378044572029
104,22,4,0.0857157741838695
138,24,4,0.0873169322400628
171,47,14,0.119864030739936
80,36,16,0.121984339314173
193,16,14,0.120411946629463
144,34,3,0.0794079159478817
53,32,13,0.118278775943311
179,24,20,0.126342446103969
55,30,5,0.0921339743091164
67,6,16,0.121990347059463
28,35,9,0.10936888762209
157,34,7,0.101299547055452
58,21,13,0.118012718857965
178,29,15,0.121521622287471
143,42,1,0.0495619633009515
100,15,1,0.0587951449394602
163,42,2,0.0687933236548852
138,24,2,0.0694990590778278
176,46,4,0.0856910168452893
157,34,2,0.0684085134538189
80,22,16,0.123698601235761
176,8,18,0.124734866283944
28,16,9,0.107681190823267
104,7,4,0.0909357194254483
171,26,14,0.119063117559041
141,6,16,0.12195185061331
196,26,14,0.119512797604352
100,34,3,0.0793634036509746
84,39,9,0.107034961588817
143,42,1,0.0560644521966138
141,9,9,0.109124874206406
38,15,1,0.061682096190112
69,25,8,0.108184958499713
104,30,4,0.0847097284459589
162,7,9,0.107395630236145
58,21,13,0.119441984076895
122,28,1,0.0546786387373239
47,33,19,0.125947849579553
143,42,20,0.127172903349332
163,32,2,0.0652774615617293
146,26,11,0.113601171879843
179,24,20,0.125731766884025
108,48,14,0.119804264922843
100,30,1,0.0505459559369756
181,32,7,0.101423372755503
24,44,9,0.106732027890337
58,20,3,0.0784346982495168
144,36,3,0.077233932397489
144,46,13,0.119083739494061
178,7,1,0.0791211234067764
53,32,13,0.120172332733851
163,42,2,0.07049990579584
143,7,1,0.077643469073781
143,42,1,0.0516983764105956
104,35,15,0.122487589653307
69,20,2,0.0674680889801404
100,15,2,0.0695188441925676
181,33,7,0.102453877725301
143,43,1,0.0497442481647655
164,43,3,0.0798072187747983
85,39,3,0.0779232047340301
122,23,9,0.107445943571933
37,12,5,0.0909214371103983
43,14,11,0.113035522191983
143,42,1,0.0515094581987108
143,43,1,0.0493993864632093
100,30,1,0.0522591253142916
143,8,1,0.074564362146078
143,30,1,0.0546164223612855
163,42,2,0.0673572320122852
143,42,1,0.0519642352816746
181,32,7,0.101399540662645
100,28,1,0.0538212928241464
143,42,2,0.0668671350026281
58,16,3,0.0794420213976105
143,42,1,0.0529612385499593
43,43,11,0.114659966216289
143,42,9,0.108820834173036
143,43,1,0.0499079386082224
100,43,1,0.0527532198118354
122,28,1,0.0540979766379419
38,15,5,0.0912610022846091
176,46,7,0.102666433619044
58,34,2,0.0697942451133855
141,30,4,0.0871109794132509
163,24,2,0.0661963376573126
85,39,3,0.0776477413613025
143,7,11,0.11344048952215
85,39,3,0.0790093658962027
144,36,3,0.0780844661640059
53,34,3,0.0814426766630192
100,15,1,0.0588032029884549
104,34,15,0.120810651584797
80,7,9,0.107744373102252
179,33,19,0.125903074252227
157,7,4,0.0893369039727929
143,32,2,0.0662011769856993
196,24,14,0.119370542592584
84,30,1,0.048825855707142
143,42,1,0.0513919360102602
143,42,1,0.0511532163985666
141,42,1,0.0498788181426427
108,48,13,0.117886071166968
143,26,14,0.11924776441562
69,42,1,0.0542106128469997
100,31,2,0.0709947576857212
70,21,3,0.0788588431678074
144,43,2,0.0678352180689169
176,47,4,0.0851213443743699
104,30,5,0.0931554634216917
164,33,2,0.0678283274267862
57,20,4,0.085466761300628
101,15,3,0.0781127647346314
143,42,1,0.0549045887709957
84,30,1,0.0530040655341865
143,43,1,0.0517127415917438
141,42,1,0.0540054129644761
84,42,1,0.0513586260043983
143,42,14,0.119438044587953
181,32,3,0.0776870541791307
143,43,1,0.0562791692545864
143,30,1,0.0519946251218411
57,48,4,0.0845301915498085
122,28,1,0.0532661000463159
157,7,1,0.077499105218789
143,42,1,0.0514655542540947
143,8,1,0.0726906547916462
84,30,1,0.0531642644396852
143,42,1,0.0528704496776403
143,42,2,0.0654951539012523
85,43,1,0.0519165478675713
164,33,1,0.0534890219120063
143,42,1,0.0519436297089528
100,42,1,0.0532337695735948
143,42,1,0.0541188726481902
104,34,3,0.0800599827848147
163,43,1,0.0517220303921623
100,42,1,0.0519965576454401
100,30,11,0.1143822611841
58,16,3,0.0779865063612855
143,42,1,0.0512029059604068
100,32,2,0.0668902674162205
143,34,14,0.119597604966718
141,42,1,0.0538413947590161
100,31,1,0.0553172068314372
143,46,7,0.101382006787815
84,30,1,0.0534178307818017
58,30,2,0.0667536779956924
143,43,1,0.0511364876649237
80,7,9,0.107207414358803
144,28,1,0.0537091480114107
141,30,5,0.091504703062192
100,47,1,0.0533452702788186
179,33,19,0.12547242892658
164,42,1,0.0519199661552484
163,25,3,0.0770295885397788
70,21,2,0.0689156889335305
141,41,1,0.0531181339334387
84,30,2,0.0664027812950562
101,16,3,0.0755348855368888
142,43,1,0.0524619226200945
85,31,1,0.051216292409555
44,43,11,0.113625244237473
86,39,3,0.0792697210504748
143,43,1,0.0501508835675583
143,42,1,0.0539494229471702
85,31,1,0.0495477690497096
85,43,1,0.0527167687715906
57,31,4,0.0846531864643871
80,7,9,0.109312195422133
100,43,1,0.0538785282544927
141,30,1,0.0512202677604545
122,28,1,0.0543754877932647
141,41,1,0.0494376231248028
84,30,1,0.0567127775921378
143,30,1,0.0501310660396953
164,42,1,0.0522611061468523
143,30,1,0.050430929879533
143,42,1,0.0496224587955066
58,32,3,0.0782299880996064
100,39,3,0.080109236815954
143,42,1,0.0539175666851858
143,42,1,0.051934319002594
163,43,1,0.0537677375982416
142,43,1,0.0512423676059567
144,43,1,0.0546718371970924
142,42,1,0.0526771252108507
143,41,1,0.0502489531401654
143,30,1,0.053211523228178
143,42,1,0.0533672641576149
84,31,1,0.0559108303796868
143,43,1,0.0538347208116869
84,42,1,0.0554732335664288
85,43,1,0.0536848185550436
143,42,1,0.0501624852163942
70,31,1,0.0536870926992197
100,30,1,0.0535515091211084
157,7,1,0.0788988638194316
141,43,1,0.0525353528212567
141,42,1,0.0525259332619538
84,25,2,0.0681740105904579
143,43,1,0.0510329776976774
84,42,1,0.054013660281729
143,42,1,0.050499388926722
100,43,1,0.0505229744096243
164,43,1,0.0522754735003737
143,42,2,0.069111412215309
142,42,1,0.0551421614295649
100,41,1,0.0523605032263662
122,28,2,0.0661320083604975
100,33,2,0.066500722844598
57,30,2,0.0660291457005134
85,41,1,0.0580810758079185
178,34,20,0.126221656896441
141,41,1,0.0515153359517619
85,31,1,0.0551071589768538
143,42,1,0.0522011780313713
142,30,1,0.0506412294291954
143,25,1,0.0528111398710587
142,30,1,0.0536170359024282
141,43,1,0.0519127655197058
