NumTrees,MaxDepth,LeafSize,RMSE
100,15,1,30.3826779392637
88,31,8,61.4740215191634
122,30,13,68.9080667852255
34,12,16,73.804493182333
30,43,3,46.4201996938235
116,33,19,74.2719837553948
160,21,16,72.8256016144782
188,28,10,65.1278000119206
43,23,9,62.8785347048811
122,8,9,64.2837572815972
104,16,7,59.1654412189092
22,11,11,65.8295263938695
81,13,11,67.0825764815052
49,16,17,73.3680559562553
163,24,16,73.0138358695952
76,7,13,70.0988260715531
115,46,8,63.7029775545469
50,48,16,72.2325882369838
128,27,11,67.0029627615503
67,27,8,62.3821830746383
138,20,19,74.9250042184159
144,46,18,73.3361286485364
155,22,11,67.0835263583761
101,10,13,70.3644991898545
35,40,12,67.9958360406446
61,23,5,50.796193327814
184,16,7,59.5174264473933
47,23,10,66.7470945088291
169,9,5,52.8205953414565
117,11,17,73.803207707169
199,47,5,53.0923990516236
34,48,5,52.5492988725892
100,31,4,47.419007526345
39,8,5,51.6065146940691
193,16,9,64.4355027219704
21,21,7,58.1072883648317
159,42,19,73.6213645824244
167,6,9,63.5446269339546
176,7,5,53.6287689421821
35,13,18,75.0857925910318
92,34,20,75.5287449277876
67,38,9,65.1792431366744
164,34,3,44.120404953531
98,25,6,57.563104048587
184,30,9,64.5592563516568
53,18,12,66.6387427643495
67,39,6,58.3990281751357
46,14,12,69.1145547009848
44,36,15,71.3718831801365
176,13,5,51.427528409113
100,15,1,31.2333129487505
164,34,3,44.5901807248267
30,43,3,45.917416084155
128,27,11,65.9975781404533
39,9,5,54.6395340805569
104,21,16,72.4267698400622
164,7,5,53.1264623262289
144,21,18,73.5385153153464
122,8,6,56.3315163708596
50,48,16,72.2404531614555
30,43,3,50.0270529429634
100,31,4,50.0422372044963
34,9,5,52.7633214652644
44,33,19,74.3140078112466
98,11,6,57.0654546736893
199,47,6,55.5395672875696
100,15,7,60.0906124999187
100,20,19,74.5987929820507
34,15,5,57.928976913996
184,43,3,44.0897111788891
46,14,12,68.9834920223399
30,43,3,46.9070979100918
67,38,9,65.2081445918203
101,43,13,69.8265279263787
